gene.name	uniprot	MolecularFunctions	gene.score	in.AutismKB	in.DDG2P_16_7_2019	in.Table S5	in.denovo_rare(MAF<1%)	in.iPSYCH	in.SFARI	resource.count	in.signor	in.largest.comp	out.edge.in.largest.comp	in.edge.in.largest.comp	glob.out	glob.in
PKLR	P30613	"ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; monosaccharide binding [GO:0048029]; potassium ion binding [GO:0030955]; pyruvate kinase activity [GO:0004743]"		no	no	no	no	no	no	0	yes	yes	2	0	2	0
KIAA1109				no	yes	no	no	no	no	1	no	no	NA	NA	NA	NA
PXN	P49023	"beta-catenin binding [GO:0008013]; metal ion binding [GO:0046872]; neuropilin binding [GO:0038191]; protein phosphatase binding [GO:0019903]; transcription coregulator activity [GO:0003712]; vinculin binding [GO:0017166]"		no	no	no	no	no	no	0	yes	yes	2	10	2	10
RAD51B	O15315	"ATP binding [GO:0005524]; ATP-dependent activity, acting on DNA [GO:0008094]; ATP-dependent DNA damage sensor activity [GO:0140664]; DNA binding [GO:0003677]; double-stranded DNA binding [GO:0003690]; single-stranded DNA binding [GO:0003697]"		no	no	no	no	no	no	0	yes	yes	NA	NA	1	0
EEF2	P13639	"cadherin binding [GO:0045296]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; protein kinase binding [GO:0019901]; ribosome binding [GO:0043022]; RNA binding [GO:0003723]; translation elongation factor activity [GO:0003746]"		no	no	no	no	no	no	0	yes	yes	1	3	1	3
NEDD1	Q8NHV4	gamma-tubulin binding [GO:0043015]		no	no	no	no	no	no	0	yes	yes	1	3	1	3
CSK	P41240	"ATP binding [GO:0005524]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; proline-rich region binding [GO:0070064]; protein C-terminus binding [GO:0008022]; protein kinase A catalytic subunit binding [GO:0034236]; protein phosphatase binding [GO:0019903]; protein tyrosine kinase activity [GO:0004713]; protein tyrosine kinase binding [GO:1990782]"		no	no	no	no	no	no	0	yes	yes	8	3	8	3
PPP2R1A	P30153	"protein antigen binding [GO:1990405]; protein heterodimerization activity [GO:0046982]; protein phosphatase regulator activity [GO:0019888]; protein serine/threonine phosphatase activity [GO:0004722]"		no	yes	no	no	no	no	1	yes	yes	6	0	6	0
RPS29	P62273	"structural constituent of ribosome [GO:0003735]; zinc ion binding [GO:0008270]"		no	no	no	no	no	no	0	yes	yes	1	0	1	0
KCND3	Q9UK17	"A-type (transient outward) potassium channel activity [GO:0005250]; metal ion binding [GO:0046872]; transmembrane transporter binding [GO:0044325]; voltage-gated potassium channel activity [GO:0005249]"	3	yes	no	no	no	no	yes	2	yes	yes	1	0	1	0
PABIR1	Q96E09	protein serine/threonine phosphatase inhibitor activity [GO:0004865]		no	no	no	no	no	no	0	yes	yes	1	1	1	1
SOHLH2	Q9NX45	"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]"		no	no	no	no	no	no	0	yes	yes	1	0	1	0
PDSS2	Q86YH6	"all-trans-decaprenyl-diphosphate synthase activity [GO:0097269]; all-trans-nonaprenyl-diphosphate synthase (geranyl-diphosphate specific) activity [GO:0052923]; prenyltransferase activity [GO:0004659]; protein heterodimerization activity [GO:0046982]; trans-hexaprenyltranstransferase activity [GO:0000010]"		no	yes	no	no	no	no	1	no	no	NA	NA	NA	NA
IL6ST	P40189	"ciliary neurotrophic factor receptor activity [GO:0004897]; ciliary neurotrophic factor receptor binding [GO:0005127]; cytokine binding [GO:0019955]; cytokine receptor activity [GO:0004896]; growth factor binding [GO:0019838]; identical protein binding [GO:0042802]; interleukin-11 binding [GO:0019970]; interleukin-11 receptor activity [GO:0004921]; interleukin-27 receptor activity [GO:0045509]; scaffold protein binding [GO:0097110]"		no	no	no	no	no	no	0	yes	yes	3	11	3	11
HLA-E	P13747	"beta-2-microglobulin binding [GO:0030881]; MHC class I protein binding [GO:0042288]; natural killer cell lectin-like receptor binding [GO:0046703]; peptide antigen binding [GO:0042605]; signaling receptor binding [GO:0005102]; T cell receptor binding [GO:0042608]"		no	no	no	no	no	no	0	yes	yes	NA	NA	NA	NA
ELAVL2	Q12926	"mRNA 3'-UTR binding [GO:0003730]; RNA binding [GO:0003723]"	3	no	no	no	no	no	yes	1	yes	yes	1	0	1	0
NPHP3	Q7Z494			no	yes	no	no	no	no	1	no	no	NA	NA	NA	NA
IL10RA	Q13651	"cytokine receptor activity [GO:0004896]; interleukin-10 binding [GO:0019969]; interleukin-10 receptor activity [GO:0004920]; signaling receptor activity [GO:0038023]"		no	no	no	no	no	no	0	yes	yes	2	2	2	2
LIMA1	Q9UHB6	"actin filament binding [GO:0051015]; actin monomer binding [GO:0003785]; cadherin binding [GO:0045296]; metal ion binding [GO:0046872]"		no	no	no	no	no	no	0	yes	yes	0	2	0	2
GFRA1	P56159	"glial cell-derived neurotrophic factor receptor activity [GO:0016167]; integrin binding [GO:0005178]; neurotrophin receptor activity [GO:0005030]; signaling receptor activity [GO:0038023]; signaling receptor binding [GO:0005102]"		no	no	no	no	no	no	0	yes	yes	0	3	0	3
PLXND1	Q9Y4D7	"protein domain specific binding [GO:0019904]; semaphorin receptor activity [GO:0017154]"		no	yes	no	no	no	no	1	no	no	NA	NA	NA	NA
IL10	P22301	"cytokine activity [GO:0005125]; growth factor activity [GO:0008083]; interleukin-10 receptor binding [GO:0005141]; protein dimerization activity [GO:0046983]"		no	no	no	no	no	no	0	yes	yes	2	0	2	0
COL15A1	P39059	"extracellular matrix structural constituent [GO:0005201]; extracellular matrix structural constituent conferring tensile strength [GO:0030020]"		no	no	no	no	no	no	0	yes	yes	1	0	1	0
SLC26A2	P50443	"bicarbonate transmembrane transporter activity [GO:0015106]; chloride transmembrane transporter activity [GO:0015108]; oxalate transmembrane transporter activity [GO:0019531]; secondary active sulfate transmembrane transporter activity [GO:0008271]; sulfate transmembrane transporter activity [GO:0015116]"		no	yes	no	no	no	no	1	no	no	NA	NA	NA	NA
CRK	P46108	"cytoskeletal protein binding [GO:0008092]; ephrin receptor binding [GO:0046875]; insulin-like growth factor receptor binding [GO:0005159]; kinase binding [GO:0019900]; molecular adaptor activity [GO:0060090]; phosphotyrosine residue binding [GO:0001784]; protein phosphorylated amino acid binding [GO:0045309]; protein self-association [GO:0043621]; protein tyrosine kinase binding [GO:1990782]; receptor tyrosine kinase binding [GO:0030971]; scaffold protein binding [GO:0097110]; SH2 domain binding [GO:0042169]; SH3 domain binding [GO:0017124]; signaling adaptor activity [GO:0035591]; signaling receptor complex adaptor activity [GO:0030159]; ubiquitin protein ligase binding [GO:0031625]"		no	no	no	no	no	no	0	yes	yes	5	9	5	9
RPL34	P49207	"cadherin binding [GO:0045296]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]"		no	no	no	no	no	no	0	yes	yes	1	0	1	0
EIF3L	Q9Y262	"RNA binding [GO:0003723]; translation initiation factor activity [GO:0003743]"		no	no	no	no	no	no	0	yes	yes	1	0	1	0
HACE1	Q8IYU2	"small GTPase binding [GO:0031267]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]"		no	yes	no	no	no	no	1	yes	yes	2	2	2	2
RASSF6	Q6ZTQ3			no	no	no	no	no	no	0	yes	yes	1	0	1	0
PON1	P27169	"acyl-L-homoserine-lactone lactonohydrolase activity [GO:0102007]; aryldialkylphosphatase activity [GO:0004063]; arylesterase activity [GO:0004064]; calcium ion binding [GO:0005509]; phospholipid binding [GO:0005543]; protein homodimerization activity [GO:0042803]"	2	no	no	no	no	no	yes	1	yes	yes	0	1	0	1
PBK	Q96KB5	"ATP binding [GO:0005524]; JUN kinase kinase kinase activity [GO:0004706]; MAP kinase kinase activity [GO:0004708]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]"		no	no	no	no	no	no	0	yes	yes	5	3	5	3
FCHO1	O14526	AP-2 adaptor complex binding [GO:0035612]		no	no	no	no	no	no	0	yes	yes	1	0	1	0
DHODH	Q02127	"dihydroorotase activity [GO:0004151]; dihydroorotate dehydrogenase (quinone) activity [GO:0106430]; dihydroorotate dehydrogenase activity [GO:0004152]"		no	yes	no	no	no	no	1	yes	yes	4	1	4	1
NTS	P30990	"neuropeptide hormone activity [GO:0005184]; neuropeptide receptor binding [GO:0071855]; receptor ligand activity [GO:0048018]"		no	no	no	no	no	no	0	yes	no	NA	NA	2	0
CRYGS	P22914	structural constituent of eye lens [GO:0005212]		no	no	no	no	no	no	0	yes	yes	0	1	0	1
DAAM1	Q9Y4D1	"actin binding [GO:0003779]; identical protein binding [GO:0042802]; small GTPase binding [GO:0031267]"		no	no	no	no	no	no	0	yes	yes	1	2	1	2
AGER	Q15109	"advanced glycation end-product receptor activity [GO:0050785]; amyloid-beta binding [GO:0001540]; identical protein binding [GO:0042802]; molecular adaptor activity [GO:0060090]; protein-containing complex binding [GO:0044877]; S100 protein binding [GO:0044548]; scavenger receptor activity [GO:0005044]; signaling receptor activity [GO:0038023]; transmembrane signaling receptor activity [GO:0004888]"		no	no	no	no	no	no	0	yes	yes	0	4	0	4
NCKAP1	Q9Y2A7		1	no	no	no	no	no	yes	1	yes	yes	3	0	3	0
TNFRSF10B	O14763	"signaling receptor activity [GO:0038023]; TRAIL binding [GO:0045569]; TRAIL receptor activity [GO:0036463]"		no	no	no	no	no	no	0	yes	yes	1	2	1	2
RAB2A	P61019	"GDP binding [GO:0019003]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]"	2	no	no	no	no	no	yes	1	yes	yes	2	0	2	0
KIRREL3	Q8IZU9	cell adhesion molecule binding [GO:0050839]	2	yes	yes	no	yes	no	yes	4	yes	yes	2	0	2	0
ATF6B	Q99941	"cAMP response element binding [GO:0035497]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription cis-regulatory region binding [GO:0000976]"		no	no	no	no	no	no	0	yes	yes	1	0	1	0
KCNS1	Q96KK3	"delayed rectifier potassium channel activity [GO:0005251]; potassium channel regulator activity [GO:0015459]; voltage-gated potassium channel activity [GO:0005249]"		yes	no	no	no	no	no	1	yes	yes	1	0	1	0
FSTL1	Q12841	"calcium ion binding [GO:0005509]; heparin binding [GO:0008201]"		no	no	no	no	no	no	0	yes	yes	1	0	1	0
GREB1	Q4ZG55			no	no	no	no	no	no	0	yes	yes	2	1	2	1
LNPK	Q9C0E8	"identical protein binding [GO:0042802]; metal ion binding [GO:0046872]"	NA	no	yes	no	no	no	yes	2	no	no	NA	NA	NA	NA
PLXNB3	Q9ULL4	"cell-cell adhesion mediator activity [GO:0098632]; protein domain specific binding [GO:0019904]; Rho GDP-dissociation inhibitor binding [GO:0051022]; semaphorin receptor activity [GO:0017154]"		no	no	no	no	no	no	0	yes	yes	1	1	1	1
NFKB1	P19838	"actinin binding [GO:0042805]; chromatin binding [GO:0003682]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; transcription cis-regulatory region binding [GO:0000976]; transcription coactivator binding [GO:0001223]"		no	no	no	no	no	no	0	yes	yes	5	13	5	13
ARHGAP39	Q9C0H5	GTPase activator activity [GO:0005096]		no	no	no	no	no	no	0	yes	yes	2	0	2	0
DNAJC6	O75061	"clathrin binding [GO:0030276]; protein tyrosine phosphatase activity [GO:0004725]; SH3 domain binding [GO:0017124]"		no	no	no	no	no	no	0	yes	yes	1	0	1	0
RNF41	Q9H4P4	"erythropoietin receptor binding [GO:0005128]; identical protein binding [GO:0042802]; interleukin-3 receptor binding [GO:0005135]; protein domain specific binding [GO:0019904]; receptor tyrosine kinase binding [GO:0030971]; small GTPase binding [GO:0031267]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]"		no	no	no	no	no	no	0	yes	yes	1	2	1	2
NFU1	Q9UMS0	"4 iron, 4 sulfur cluster binding [GO:0051539]; iron ion binding [GO:0005506]"		no	yes	no	no	no	no	1	no	no	NA	NA	NA	NA
PLXNC1	O60486	"semaphorin receptor activity [GO:0017154]; signaling receptor binding [GO:0005102]"		no	no	no	no	no	no	0	yes	yes	0	2	0	2
GUCA2B	Q16661	guanylate cyclase activator activity [GO:0030250]		no	no	no	no	no	no	0	yes	no	NA	NA	1	0
